symbol,company_name,year,pb,pe,ps,pb_peer_avg,pe_peer_avg,ps_peer_avg
BCIC.JK,PT Bank JTrust Indonesia Tbk.,2023,0.57801689717908,77.8864614310085,2.04966885277332,0.83232965465001,14.0723342502017,3.89944781671295
BCIC.JK,PT Bank JTrust Indonesia Tbk.,2024,0.467089933016162,74.6580146161871,1.64623401759611,0.932091839711511,18.4025128202024,3.61350695366404
BDMN.JK,PT Bank Danamon Indonesia Tbk,2020,0.704791031732461,30.1524194780938,1.7272803816322,1.26242482560343,27.296475059198,6.37891855078523
BDMN.JK,PT Bank Danamon Indonesia Tbk,2021,0.509264604486201,14.4692456940026,1.27994225005044,1.46630589795505,15.0145590632269,6.3740557278722
BDMN.JK,PT Bank Danamon Indonesia Tbk,2022,0.563896496397819,7.99893650331253,1.48530025078886,1.00852386298116,15.1292552726864,4.34357834686358
BDMN.JK,PT Bank Danamon Indonesia Tbk,2023,0.551834593512548,7.75439028144441,1.42300251643092,0.83232965465001,14.0723342502017,3.89944781671295
BDMN.JK,PT Bank Danamon Indonesia Tbk,2024,0.520948793898728,9.81145992544577,1.29677356601139,0.932091839711511,18.4025128202024,3.61350695366404
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,2020,0.612523235855964,-2.70640385776128,14.0212841075301,1.26242482560343,27.296475059198,6.37891855078523
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,2021,1.46630589795505,-10.4572057803119,28.0234050508827,1.46630589795505,15.0145590632269,6.3740557278722
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,2022,1.56415978793697,-10.7318826346605,10.6109563909526,1.00852386298116,15.1292552726864,4.34357834686358
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,2023,0.192051835143628,12.0547176196457,1.17142720025727,0.83232965465001,14.0723342502017,3.89944781671295
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,2024,0.0883197718338205,2.5731920749699,0.560902095122165,0.932091839711511,18.4025128202024,3.61350695366404
BGTG.JK,PT Bank Ganesha Tbk.,2020,0.718972895863053,256.09756097561,3.87679461508968,1.26242482560343,27.296475059198,6.37891855078523
BGTG.JK,PT Bank Ganesha Tbk.,2021,1.25599786680466,248.389471746733,12.675289056703,1.46630589795505,15.0145590632269,6.3740557278722
BGTG.JK,PT Bank Ganesha Tbk.,2022,0.657902701765855,44.8493799274591,5.92007752004656,1.00852386298116,15.1292552726864,4.34357834686358
BGTG.JK,PT Bank Ganesha Tbk.,2023,0.568943316451935,17.7537348638484,3.67273702216058,0.83232965465001,14.0723342502017,3.89944781671295
BGTG.JK,PT Bank Ganesha Tbk.,2024,0.486977178833437,12.055856314432,3.19152243027189,0.932091839711511,18.4025128202024,3.61350695366404
BINA.JK,PT Bank Ina Perdana Tbk.,2020,3.17382331096403,199.370355078448,16.0470902965575,1.26242482560343,27.296475059198,6.37891855078523
BINA.JK,PT Bank Ina Perdana Tbk.,2021,9.4343159868137,563.399416322834,73.2704042403521,1.46630589795505,15.0145590632269,6.3740557278722
