symbol,company_name,year,tax,revenue,earnings,cash_only,total_debt,fixed_assets,gross_profit,total_assets,total_equity,operating_pnl,total_liabilities,current_liabilities,earnings_before_tax,cash_and_equivalents,total_cash_and_due_from_banks
BDMN.JK,PT Bank Danamon Indonesia Tbk,2023,1035682000000.0,19093760000000,3503882000000.0,2362221000000.0,15416340000000.0,,,221304532000000,49959368000000,,171345164000000,,4693727000000,,16258500000000.0
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,2018,-30945000000.0,164443000000,-100131000000.0,,2011017000000.0,,,9482130000000,693398000000,-134922000000.0,8788732000000,,-131076000000,,527700000000.0
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,2019,-43141000000.0,129347000000,-137559000000.0,,1724657000000.0,,,8097328000000,549533000000,-180078000000.0,7547795000000,,-180700000000,,589230000000.0
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,2020,47438000000.0,59481000000,-308158000000.0,,1120781000000.0,,,5337281000000,1361581000000,-256132000000.0,3975700000000,,-260720000000,,442657000000.0
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,2021,60908000000.0,98953000000,-265176000000.0,,2133442000000.0,,,8849611000000,1891147000000,-204411000000.0,6958464000000,,-204268000000,,1801316000000.0
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,2022,-45353000000.0,242014000000,-239287000000.0,,925843000000.0,,,7223058000000,1641776000000,-305568000000.0,5581282000000,,-284640000000,,1208664000000.0
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,2023,23944000000.0,273638000000,26591000000.0,115200000000.0,3000000000.0,,,6800821000000,1669065000000,,5131756000000,,50535000000,,745465000000.0
BGTG.JK,PT Bank Ganesha Tbk.,2018,1813000000.0,248574000000,5600000000.0,,2792000000.0,,,4497122000000,1126199000000,12920000000.0,3370923000000,,7413000000,,446922000000.0
BGTG.JK,PT Bank Ganesha Tbk.,2019,2685000000.0,221868000000,11841000000.0,,414000000.0,,,4809743000000,1140000000000,16280000000.0,3669743000000,,14526000000,,436930000000.0
BGTG.JK,PT Bank Ganesha Tbk.,2020,1804000000.0,211257000000,3198000000.0,,39817000000.0,,,5365456000000,1139125000000,7694000000.0,4226331000000,,5002000000,,238962000000.0
BGTG.JK,PT Bank Ganesha Tbk.,2021,3785000000.0,212934000000,10866000000.0,,32851000000.0,,,8575950000000,2148889000000,17307000000.0,6427061000000,,14651000000,,272280000000.0
BGTG.JK,PT Bank Ganesha Tbk.,2022,11381000000.0,348813000000,46043000000.0,,26704000000.0,,,8968132000000,3138762000000,63043000000.0,5829370000000,,57424000000,,1937046000000.0
BGTG.JK,PT Bank Ganesha Tbk.,2023,24819000000.0,502559000000,103965000000.0,43763000000.0,20990000000.0,,,9402309000000,3244202000000,,6158107000000,,128784000000,,2280157000000.0
